File Length,C# character-level grammar parse time (seconds),C# character-level grammar reachable SPPF node count,C# character-level grammar full SPPF node count,C# character-level grammar reachable SPPF edge count,C# character-level grammar full SPPF edge count,C# character-level grammar reachable non-token SPPF node count,C# character-level grammar full non-token SPPF node count,C# character-level grammar reachable non-token SPPF edge count,C# character-level grammar full SPPF non-token edge count,C# character-level grammar ambiguity node count,C# character-level grammar GSS node count,C# character-level grammar GSS edge count,C# character-level grammar descriptor count,C# w/o lexical disambiguation output triple set size,C# w/o lexical disambiguation output no. of tokenisations,C# w/o lexical disambiguation lex time (seconds),C# w/o lexical disambiguation parse time (seconds),C# w/o lexical disambiguation total time (seconds),C# w/o lexical disambiguation reachable SPPF node count,C# w/o lexical disambiguation full SPPF node count,C# w/o lexical disambiguation reachable SPPF edge count,C# w/o lexical disambiguation full SPPF edge count,C# w/o lexical disambiguation ambiguity node count,C# w/o lexical disambiguation GSS node count,C# w/o lexical disambiguation GSS edge count,C# w/o lexical disambiguation descriptor count,C# with full lexical disambiguation output triple set size,C# with full lexical disambiguation output no. of tokenisations,C# with full lexical disambiguation lex time (seconds),C# with full lexical disambiguation parse time (seconds),C# with full lexical disambiguation total time (seconds),C# with full lexical disambiguation reachable SPPF node count,C# with full lexical disambiguation full SPPF node count,C# with full lexical disambiguation reachable SPPF edge count,C# with full lexical disambiguation full SPPF edge count,C# with full lexical disambiguation ambiguity node count,C# with full lexical disambiguation GSS node count,C# with full lexical disambiguation GSS edge count,C# with full lexical disambiguation descriptor count
88,0.042224868000000006,589,4150,598,5322,174,3203,178,3965,219,3591,7550,14606,218,70295318691840,0.013244160000000001,0.087049913,0.10029407300000001,174,2111,178,2561,189,782,1626,5499,21,1,0.023233196,0.048200951000000006,0.071434147,145,302,144,333,5,322,769,1415
581,0.298914693,5045,17641,5194,21501,2434,13701,2512,16283,908,23795,45077,82587,1220,4588854379909826235147049388300902414976187780648064408615403282661113856000000000,0.046493684,0.18504583000000002,0.231539514,2434,9783,2512,11519,787,5004,10817,31639,203,1,0.087551321,0.12469427000000001,0.212245591,2185,2955,2214,3208,62,3112,7238,14284
600,0.358424126,5223,18118,5397,22102,2498,14052,2588,16712,941,23903,45275,83389,1300,79956198715548812321202188541754923678545095890011874255714786797087247826944000000000,0.058320797,0.181917871,0.24023866800000002,2498,10059,2588,11863,820,5041,10876,32264,207,1,0.08175431400000001,0.09253235400000001,0.174286668,2167,2943,2196,3197,62,3060,7084,14015
565,0.36689059500000004,4683,19545,4833,24241,2150,15377,2243,18622,1059,22563,44225,83441,1284,97625374584326689765792179332381210469193376221826898932255892305505574453248000000000,0.047757446,0.20008498100000002,0.247842427,2150,10951,2243,13041,908,4977,10623,33231,184,1,0.08754819500000001,0.13118039,0.218728585,1922,2758,1971,3039,69,2870,6656,12998
358,0.263215792,3477,11819,3580,14447,1798,9070,1839,10722,548,15029,29081,53760,693,1455703752682164772917783584587253437704437760,0.046992362,0.191182714,0.238175076,1798,6258,1839,7371,465,3740,8578,21735,132,1,0.061068968,0.122601075,0.183670043,1594,2065,1593,2187,15,2467,6294,11901
344,0.084372315,2640,12096,2733,15008,1046,9051,1092,10670,700,10937,21034,42160,943,471891164983575760715675285545644188638827277681950720000,0.030721766,0.124568941,0.155290707,1046,6591,1092,7962,656,2212,4929,16709,96,2,0.050145941000000006,0.13150851,0.18165445100000002,879,1302,890,1424,40,1175,2825,5699
685,0.344308759,6263,20408,6651,24817,2601,14632,2781,16688,959,18214,34366,70351,2417,25606264413749097428914495232871303249379895194942039816266522129562105176537211077561001432175850491621293424640000000000,0.06952665300000001,0.21070903400000002,0.280235687,2601,9529,2781,11380,879,3854,8439,26827,161,1,0.127099511,0.10207402900000001,0.22917354,1806,2266,1820,2408,25,2599,6100,12082
1806,0.6503265340000001,15536,52709,16109,63389,6402,39494,6685,45768,2565,48813,92779,194688,5335,34248343067382965186590458622123443751310894412793875027157486579109724813357183813933694124325834419311725682293408523762647723583217497228687361629933486992449238430534954671643476761395397727748489456508465060254750566782398987514405999986134220800000000000000000000000000000000,0.079526147,0.23998638100000003,0.319512528,6402,27138,6685,32465,2429,11472,26534,81641,477,16,0.178805358,0.163217796,0.342023154,5251,6581,5285,6945,63,7362,18864,35791
1279,0.656631528,10751,45184,11214,57314,4390,33302,4622,40214,2137,45578,91447,173535,4120,433219615232250765103306791273500362909124975482889022870054822887906078929507896044836106782113889777104814417910915645479675421000134697966626831619882031748879929976563996396456863355371520000000000000000000,0.069457377,0.18574198900000002,0.25519936600000004,4390,22251,4622,26613,1820,10834,23726,69046,336,1,0.10879121900000001,0.10904749100000001,0.21783871000000002,3584,5107,3643,5605,85,6976,16596,29639
349,0.063341699,2340,9312,2354,11280,633,6433,642,7286,399,8039,15723,30871,1182,210656145297004427154776329028999200401384904437679521792000000000,0.038591731000000004,0.134630632,0.17322236300000002,633,3932,642,4634,370,1228,2546,9350,73,1,0.07392424,0.12041367000000001,0.19433791,610,938,614,1014,20,761,1703,3719
